Call  Failure,Complains,Subscription  Length,Charge  Amount,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Customer Value,Churn,Average of use,cluster
4,0,37,0,21,15,2,1,2,121.95,1,0.6931471805599453,0
27,1,33,0,37,32,3,1,2,212.48,1,0.3747848195360423,0
13,1,35,0,30,31,3,1,2,265.64,1,0.7762019387034734,3
13,1,36,0,55,46,3,1,2,336.88,1,0.6340260575521479,3
4,0,36,0,21,17,3,1,2,113.8,1,0.7021344515601818,0
4,0,36,0,30,19,4,1,2,106.125,1,0.7902383047352649,0
7,1,35,0,59,35,3,1,2,328.76,1,0.5300834403704053,3
7,1,9,3,21,22,3,1,1,168.68,1,0.7884573603642702,0
19,0,33,0,0,2,2,1,2,17.64,1,0.14834233823151138,1
9,1,36,0,5,9,2,1,1,261.27,1,0.6872586651119379,3
5,0,35,0,0,1,3,1,2,96.84,1,0.8263424952112155,1
5,0,36,0,13,16,3,1,2,120.08,1,0.5975428398474837,0
0,0,36,0,0,0,3,1,2,0.0,1,0.0,1
0,0,36,0,0,0,4,1,2,0.0,1,0.0,1
0,1,9,0,0,3,3,1,1,35.88,1,0.9724610033412097,1
0,0,38,0,32,4,2,1,2,149.445,1,0.27721077258448557,0
23,1,34,0,48,21,3,1,2,236.92,1,0.29003778614424,3
9,1,36,0,41,20,3,1,2,290.08,1,0.7424438020711727,3
9,0,37,0,66,35,4,1,2,225.825,1,0.5846335509107106,3
0,0,37,0,32,6,3,1,2,138.24,1,0.4165149442947494,0
0,0,37,0,41,8,4,1,2,121.4,1,0.6691434332115244,0
3,0,10,2,32,11,3,1,1,193.12,1,0.7269042773580787,0
0,1,36,0,0,0,2,1,2,0.0,1,0.0,1
23,0,32,0,0,13,2,1,2,39.645,1,0.2937611185281631,1
13,1,35,0,0,20,2,1,1,260.775,1,0.7095873837451148,3
9,1,34,0,0,12,2,1,2,130.95,1,0.8624880258811788,0
9,0,35,0,2,27,3,1,2,95.64,1,0.664901112796567,0
0,0,35,0,0,3,4,1,2,12.85,1,2.256541154492639,1
3,1,8,0,0,3,2,1,1,62.37,1,1.0153235776807257,1
2,0,37,0,9,3,2,1,2,49.095,1,1.4271163556401456,1
25,1,33,0,25,20,2,1,2,166.185,1,0.33473461672267213,0
15,0,36,1,35,27,2,1,1,432.315,1,0.6988547669793099,3
11,1,35,0,18,19,3,1,2,200.88,1,0.8162072733171725,0
11,1,36,0,43,34,3,1,2,272.12,1,0.6472971344488697,3
2,0,36,0,9,5,3,1,2,49.04,1,1.0276333192095288,1
2,0,36,0,18,7,4,1,2,65.65,1,0.9947937933620987,1
6,1,27,1,202,14,2,2,1,978.39,1,0.5175596559473348,2
5,0,9,1,9,10,3,1,1,103.88,1,0.8744265277754563,0
21,0,33,0,7,14,2,1,2,67.995,1,0.24464975653517335,1
11,0,36,1,17,21,2,1,1,334.125,1,0.6765147805108033,3
7,1,35,0,0,13,3,1,2,113.6,1,0.7731898882334817,0
7,0,36,0,25,28,3,1,2,184.84,1,0.5907967725286232,0
0,0,36,0,0,1,4,1,2,11.1,1,0.796004565999653,1
1,0,9,1,0,4,3,1,1,52.6,1,0.7888781472419285,1
0,0,32,0,0,0,2,1,2,0.0,1,0.0,1
21,1,28,0,8,16,2,1,2,80.82,1,0.3280161430784819,1
11,0,31,0,18,23,2,1,1,346.95,1,0.719782055613108,3
7,1,30,0,1,15,2,1,2,140.625,1,0.885340485833054,0
7,1,31,0,26,30,3,1,2,196.24,1,0.6905121329219402,0
0,1,31,0,0,0,2,1,2,0.0,1,0.0,1
0,0,31,0,1,3,4,1,2,18.225,1,2.439444275711243,1
1,0,4,0,0,6,2,1,1,67.5,1,1.0669187308238917,1
0,0,42,0,8,0,2,1,2,36.0,1,0.0,1
25,1,38,0,24,18,3,1,2,136.32,1,0.26260613168356917,0
11,0,40,0,17,17,3,1,2,189.48,1,0.7228436859137977,0
11,1,41,0,42,32,4,1,2,162.95,1,0.5630384952129249,0
2,0,41,0,8,3,3,1,2,37.64,1,0.2445788320342748,1
2,0,41,0,17,5,4,1,2,58.525,1,0.5906316170343503,1
6,1,32,2,201,12,3,2,1,858.28,1,0.41991053329588757,2
5,1,14,2,8,8,3,1,1,92.48,1,0.6888044311258084,1
6,0,38,0,8,2,2,1,2,68.445,1,0.7303261838016994,1
29,1,34,0,24,17,3,1,2,164.92,1,0.39099307549962997,0
15,1,36,0,17,16,3,1,2,218.08,1,0.7820264700339797,0
15,1,37,0,42,31,3,1,2,289.32,1,0.6431289899473274,3
6,0,37,0,8,2,3,1,2,66.24,1,0.7327376478309539,1
6,1,37,0,17,4,4,1,2,76.4,1,0.8059797110564726,1
9,0,10,2,8,7,3,1,1,121.08,1,0.7977574148270675,0
0,0,36,0,0,0,2,1,2,0.0,1,0.0,1
17,0,32,0,0,17,2,1,2,12.645,1,0.10744168186165086,1
7,0,35,0,1,24,2,1,1,238.275,1,0.6823612516497941,3
3,1,34,0,0,16,2,1,2,103.95,1,0.8183103235139513,0
3,0,35,0,9,31,3,1,2,99.64,1,0.5804647510311496,0
0,0,35,0,0,0,3,1,2,0.0,1,0.0,1
0,0,35,0,0,0,4,1,2,0.0,1,0.0,1
0,0,8,0,0,7,3,1,1,31.4,1,0.9626971046883108,1
23,0,33,0,16,17,2,1,2,117.09,1,0.2916634977509658,0
13,0,36,1,26,24,2,1,1,383.22,1,0.6878611251102985,3
9,1,35,0,9,16,3,1,2,157.24,1,0.7954542587308813,0
9,0,36,0,34,31,3,1,2,228.48,1,0.6200876096904402,3
0,0,36,0,9,4,4,1,2,38.375,1,0.9143841536035735,1
4,1,27,1,193,11,2,2,1,929.295,1,0.4754862573206818,2
3,0,9,1,0,7,3,1,1,60.24,1,0.8348142482969988,1
3,1,9,1,0,7,3,1,1,60.24,1,0.8348142482969988,1
18,0,31,0,9,15,2,1,2,71.595,1,0.23446137624687133,1
8,1,34,0,19,22,2,1,1,337.725,1,0.6925129214891651,3
4,0,33,0,2,14,2,1,2,131.4,1,0.8235486801755403,0
4,0,34,0,27,29,3,1,2,188.04,1,0.6210951232538385,0
0,0,34,0,2,2,4,1,2,13.1,1,1.8536904269585455,1
0,1,25,0,186,9,2,2,1,883.8,1,0.4453978184435354,2
0,1,7,0,0,5,2,1,2,53.82,1,0.9229352745928237,1
0,0,37,0,0,0,2,1,1,0.0,1,0.0,1
21,1,33,0,14,17,2,1,1,96.93,1,0.23818142867875028,0
11,1,36,1,24,24,2,1,1,363.06,1,0.6819443112218899,3
7,0,35,0,7,16,3,1,1,139.32,1,0.7902500109787901,0
7,1,36,0,32,31,3,1,1,210.56,1,0.6001311152290311,0
0,0,36,0,0,0,3,1,1,0.0,1,0.0,1
0,0,36,0,7,4,4,1,1,27.175,1,0.9539075954454619,1
1,1,9,1,0,7,3,1,1,50.36,1,0.8306420623404611,1
15,0,29,0,4,13,2,1,2,46.26,1,0.23013658680518037,1
5,1,32,0,14,20,2,1,1,312.39,1,0.7036721228711058,3
1,1,31,0,0,12,2,1,2,119.565,1,0.861702541589752,0
1,0,32,0,22,27,3,1,2,165.52,1,0.6451067352810592,0
0,1,32,0,0,0,2,1,2,0.0,1,0.0,1
0,0,32,0,0,1,3,1,2,10.56,1,1.683307761000556,1
0,1,5,0,0,3,2,1,2,50.985,1,1.0548925813117833,1
0,0,39,0,3,0,2,1,2,13.5,1,0.0,1
19,0,35,0,19,19,2,1,2,120.285,1,0.24915879045544548,0
9,0,38,1,29,26,2,1,1,386.415,1,0.6889718091494647,3
5,1,37,0,12,18,2,1,2,180.09,1,0.8089262075296136,0
5,0,38,0,37,33,3,1,2,231.32,1,0.6158610865998715,3
0,0,38,0,3,0,3,1,2,12.0,1,0.0,1
0,1,38,0,12,6,4,1,2,40.15,1,1.175230335460282,1
0,1,11,1,3,9,3,1,1,63.12,1,0.8768566626287481,1
17,0,27,0,0,11,2,1,2,27.405,1,0.21800215181379107,1
7,0,30,0,9,18,2,1,1,289.035,1,0.6961980773932017,3
3,1,29,0,0,10,2,1,2,118.71,1,0.8396932610019843,0
3,0,30,0,17,25,3,1,2,144.76,1,0.6268787689625601,0
0,0,30,0,0,0,2,1,2,0.0,1,0.0,1
0,0,3,0,0,1,2,1,1,50.13,1,0.982532347377399,1
0,0,41,0,8,0,2,1,2,36.0,1,0.0,1
23,1,37,0,24,21,2,1,2,151.245,1,0.2603511787348096,0
9,1,39,0,17,20,3,1,2,187.6,1,0.737518424591342,0
9,0,40,0,42,35,3,1,2,258.84,1,0.5720383079339798,3
0,0,40,0,8,6,3,1,2,35.76,1,0.21868920096482947,1
0,1,40,0,17,8,4,1,2,57.35,1,0.6330432564902398,1
3,0,13,1,8,11,3,1,1,90.64,1,0.715716650102239,1
0,0,29,0,0,0,2,1,2,0.0,1,0.0,1
13,1,25,0,0,9,2,1,2,18.945,1,0.1903537284912189,1
3,0,28,0,4,16,2,1,1,258.075,1,0.7264286213073945,3
0,1,27,0,0,8,2,1,2,110.25,1,0.9619012431262073,0
0,1,28,0,12,23,3,1,2,117.24,1,0.6999690963834039,0
0,0,28,0,0,0,2,1,2,0.0,1,0.0,1
0,0,28,0,0,0,3,1,2,0.0,1,0.0,1
0,1,28,0,0,0,4,1,1,0.0,1,0.0,1
0,0,3,0,0,0,2,1,1,0.0,1,0.0,1
0,0,38,0,4,0,2,1,2,18.0,1,0.0,1
20,1,34,0,20,20,2,1,2,129.555,1,0.24866542010932918,0
10,0,37,0,30,27,2,1,1,395.685,1,0.6672309029301264,3
6,1,36,0,13,19,2,1,2,189.36,1,0.7469083574513977,0
6,1,37,0,38,34,3,1,2,239.56,1,0.5746165829400376,3
0,0,37,0,4,5,3,1,2,16.48,1,0.032789822822990866,1
0,1,37,0,13,7,4,1,2,45.3,1,0.6582873154424523,1
0,1,10,0,4,10,2,1,1,80.28,1,0.73320697992135,1
16,0,28,0,0,10,2,1,2,22.635,1,0.21299117985019175,1
6,1,31,0,8,17,2,1,1,279.765,1,0.7218001943664137,3
2,1,30,0,0,9,2,1,2,113.94,1,0.9346398705423516,0
2,0,31,0,16,24,3,1,2,136.52,1,0.6884137734206978,0
0,0,31,0,0,0,3,1,2,0.0,1,0.0,1
0,0,31,0,0,0,4,1,2,0.0,1,0.0,1
0,0,4,0,0,4,2,1,1,45.36,1,1.468642102468644,1
0,1,35,0,14,13,2,1,2,76.455,1,0.8016278235540153,1
22,0,31,0,30,30,2,1,2,193.545,1,0.342522988151367,0
8,0,33,0,23,29,2,1,2,253.35,1,0.796004565999653,3
8,1,34,0,48,44,3,1,2,296.44,1,0.6365400853042085,3
0,0,34,0,14,15,3,1,2,73.36,1,0.7833940584077235,1
0,0,34,0,23,17,4,1,2,80.85,1,0.8748372248605409,1
2,1,33,0,52,33,3,1,2,288.32,1,0.5191244265806858,3
2,1,7,2,14,20,3,1,1,128.24,1,0.8294374451543984,0
7,0,31,0,0,1,2,1,2,2.34,1,0.34830669426821576,1
4,0,34,0,0,7,2,1,1,224.775,1,0.6924355452938025,0
0,0,33,0,0,9,2,1,2,94.95,1,0.8712933659434193,1
0,1,34,0,6,14,3,1,2,79.64,1,0.5940500774996663,1
0,0,34,0,0,0,2,1,2,0.0,1,0.0,1
0,1,34,0,0,0,4,1,2,0.0,1,0.0,1
0,0,7,0,0,0,2,1,1,0.0,1,0.0,1
0,0,36,0,25,0,2,1,2,112.5,1,0.0,0
18,0,32,0,41,19,3,1,2,196.48,1,0.24002158910156146,0
8,1,35,1,51,26,2,1,1,487.17,1,0.6714856837787659,3
4,1,34,0,34,18,3,1,2,249.64,1,0.759969676805347,3
4,0,35,0,59,33,3,1,2,320.88,1,0.5806060638272584,3
0,0,35,0,25,0,3,1,2,100.0,1,0.0,0
0,0,35,0,34,6,4,1,2,96.125,1,0.7143493882105483,0
0,1,8,1,25,9,3,1,1,152.68,1,0.7601497686526757,0
18,0,30,0,0,11,2,1,2,25.65,1,0.22694583726394832,1
8,0,33,0,0,18,2,1,1,246.78,1,0.7159472869079532,3
4,1,32,0,0,10,2,1,2,116.955,1,0.9070527908892188,0
4,0,33,0,0,25,3,1,2,75.2,1,0.6742191706744265,1
0,1,6,0,0,1,2,1,1,48.375,1,1.2649335041156233,1
0,0,35,0,2,0,2,1,2,9.0,1,0.0,1
20,0,31,0,18,18,2,1,2,120.69,1,0.2876820724517809,0
10,0,34,0,28,25,2,1,1,386.82,1,0.7041083917630895,3
6,0,33,0,11,17,2,1,2,180.495,1,0.846305304474452,0
6,1,34,0,36,32,3,1,2,231.68,1,0.6523697007184128,3
0,0,34,0,2,0,3,1,2,8.0,1,0.0,1
0,0,34,0,11,5,4,1,2,40.375,1,1.6629786793621302,1
0,1,7,0,2,8,2,1,1,71.37,1,0.9682504708048661,1
16,1,31,0,0,12,2,1,2,22.5,1,0.1753528874778613,1
6,0,34,0,10,19,2,1,1,288.63,1,0.6805220301431215,3
2,1,33,0,0,11,2,1,2,113.805,1,0.7988752757109749,0
2,0,34,0,18,26,3,1,2,144.4,1,0.5870356321968963,0
0,0,34,0,0,0,3,1,2,0.0,1,0.0,1
0,0,34,0,0,0,4,1,2,0.0,1,0.0,1
0,0,7,0,0,2,2,1,1,45.18,1,0.8661663446915865,1
16,0,26,0,1,14,2,1,2,35.325,1,0.2696635669491026,1
6,0,29,0,11,21,2,1,1,301.455,1,0.7267806084383566,3
2,0,28,0,0,13,2,1,2,122.13,1,0.9333851652334552,0
2,0,29,0,19,28,3,1,2,155.8,1,0.7042828647098401,0
0,0,29,0,0,0,3,1,2,0.0,1,0.0,1
0,0,3,0,0,4,2,1,1,53.505,1,1.3387534163508905,1
0,0,40,0,1,0,2,1,2,4.5,1,0.0,1
20,0,36,0,17,16,3,1,2,95.88,1,0.2074177090087456,0
10,0,39,1,27,23,2,1,1,373.995,1,0.6614423698054431,3
6,1,38,0,10,15,3,1,2,149.04,1,0.7378640193417415,0
6,0,39,0,35,30,3,1,2,220.28,1,0.5559293476768796,0
0,0,39,0,1,0,3,1,2,4.0,1,0.0,1
0,0,39,0,10,3,4,1,2,33.25,1,0.5704413334403452,1
0,0,12,1,1,6,3,1,1,52.04,1,0.7114006208692956,1
0,0,36,0,1,0,2,1,2,4.5,1,0.0,1
24,0,32,0,17,15,2,1,2,140.04,1,0.3617900446055028,0
10,0,34,0,10,14,3,1,2,177.64,1,0.8020340799073582,0
10,1,35,0,35,29,3,1,2,248.88,1,0.646675754609472,3
1,0,35,0,1,1,3,1,2,25.8,1,0.8245930666934466,1
1,0,35,0,10,2,4,1,2,51.125,1,0.8898326729111334,1
4,0,8,1,1,5,3,1,1,80.64,1,0.838929610716687,1
0,1,30,0,0,0,2,1,2,0.0,1,0.0,1
2,1,33,0,0,22,2,1,1,219.78,1,0.687265721104769,0
0,0,32,0,0,14,2,1,2,89.955,1,0.8635343794348441,1
0,0,33,0,2,29,3,1,2,59.2,1,0.5729306307528598,1
0,1,33,0,0,0,2,1,2,0.0,1,0.0,1
0,0,6,0,0,5,2,1,1,21.33,1,1.5960148921019597,1
0,1,35,0,0,0,2,1,2,0.0,1,0.0,1
8,0,34,0,19,22,2,1,1,337.725,1,0.6925129214891651,3
4,1,34,0,27,29,3,1,2,188.04,1,0.6210951232538385,0
0,1,34,0,2,2,4,1,2,13.1,1,1.8536904269585455,1
0,0,7,0,0,5,2,1,1,53.775,1,0.9224257204416709,1
18,1,31,0,9,15,2,1,2,71.595,1,0.23446137624687133,1
4,1,33,0,2,14,2,1,2,131.4,1,0.8235486801755403,0
5,0,39,0,7,2,2,1,2,45.495,1,0.6136830092056984,1
28,0,35,0,23,19,3,1,2,144.52,1,0.33377317965204795,0
14,1,37,0,16,18,3,1,2,197.68,1,0.7740078841891135,0
14,1,38,0,41,33,4,1,2,168.075,1,0.6193212199192896,0
5,0,38,0,7,4,3,1,2,45.84,1,0.6484112867185537,1
5,0,38,0,16,6,4,1,2,63.65,1,0.7867075786404825,1
8,1,11,2,7,9,3,1,1,100.72,1,0.7863338952860629,0
8,0,41,2,12,4,3,1,1,62.96,1,0.516365804141606,1
31,1,37,2,28,21,3,1,1,167.04,1,0.3313571359544425,0
17,1,39,2,21,20,3,1,1,220.2,1,0.7506296159733076,0
17,0,40,2,46,35,4,1,1,182.15,1,0.603215591927128,0
8,0,40,2,12,6,3,1,1,68.36,1,0.5622098231124694,1
8,1,40,2,21,8,4,1,1,77.725,1,0.7101886464147971,1
11,1,13,3,12,11,3,1,1,123.24,1,0.7433535749618406,0
5,0,37,0,7,2,2,1,2,45.495,1,0.6136830092056984,1
25,1,33,0,18,17,3,1,2,122.0,1,0.33647223662121295,0
11,0,35,0,11,16,3,1,2,175.16,1,0.7999271428719978,0
11,1,36,0,36,31,3,1,2,246.4,1,0.637177046668443,3
5,0,36,0,7,2,3,1,2,40.44,1,0.6136830092056984,1
5,0,36,0,11,4,4,1,2,49.575,1,0.8981267612464839,1
5,1,9,1,7,7,3,1,1,98.2,1,0.8384929771544612,0
6,0,43,0,17,6,2,1,2,94.185,1,0.5889434030299426,1
29,1,39,0,33,23,3,1,2,187.8,1,0.3407918977657294,0
15,1,41,0,26,22,3,1,2,240.96,1,0.7645181744518642,3
15,1,42,0,51,37,4,1,2,195.125,1,0.6153588742574055,0
6,0,42,0,17,8,3,1,2,89.12,1,0.6223669984988981,1
6,1,42,0,26,10,4,1,2,90.7,1,0.754033206115942,1
9,1,15,3,17,13,3,1,1,144.0,1,0.7683348165804021,0
5,0,35,0,7,2,2,1,2,45.495,1,0.6136830092056984,1
27,1,31,0,13,15,3,1,2,101.24,1,0.32614835327957703,0
13,1,33,0,7,14,3,1,2,158.4,1,0.7842397244200667,0
13,1,34,0,31,29,3,1,2,225.64,1,0.6235961175988298,3
5,0,34,0,7,2,3,1,2,40.44,1,0.6136830092056984,1
5,0,34,0,7,2,4,1,2,25.275,1,0.6136830092056984,1
7,1,7,1,7,5,3,1,1,97.44,1,0.8070579945338192,1
10,0,45,0,22,8,3,1,2,111.24,1,0.46281640457963,0
33,1,41,0,38,25,3,1,2,215.32,1,0.33798281092657984,0
19,1,43,0,31,24,3,1,2,268.48,1,0.7126917766329155,3
19,1,44,0,56,39,4,1,2,212.325,1,0.580507146966799,0
10,0,44,0,22,10,3,1,2,116.64,1,0.4985280959555845,0
10,1,44,0,31,12,4,1,2,107.9,1,0.6229890341304938,0
13,0,17,3,22,15,3,1,1,171.52,1,0.6818936199192392,0
5,0,33,0,7,2,2,1,2,45.495,1,0.6136830092056984,1
23,0,29,0,8,13,2,1,2,82.935,1,0.32757340147908287,1
13,0,32,1,18,20,2,1,1,349.065,1,0.7127238054039057,3
9,0,31,0,7,12,3,1,2,150.88,1,0.8616728084447264,0
9,1,32,0,26,27,3,1,2,198.12,1,0.6748559105876938,0
5,0,32,0,7,2,3,1,2,40.44,1,0.6136830092056984,1
5,0,32,0,7,2,4,1,2,25.275,1,0.6136830092056984,1
5,0,32,1,7,2,5,1,1,15.165,1,0.6136830092056984,1
5,1,5,0,7,3,3,1,1,89.92,1,0.9944855794592119,1
7,0,42,0,18,7,2,1,2,103.455,1,0.4557658465829633,0
30,0,38,0,34,24,3,1,2,196.04,1,0.3317773923170052,0
16,1,40,0,27,23,3,1,2,249.2,1,0.71931689829333,3
16,1,41,0,52,38,4,1,2,200.275,1,0.5828254640403306,0
7,1,41,0,18,9,3,1,2,97.36,1,0.4969802169439377,0
7,0,41,0,27,11,4,1,2,95.85,1,0.63304325649024,0
10,0,14,2,18,14,3,1,1,152.24,1,0.6913779396081046,0
5,0,36,0,7,2,2,1,2,45.495,1,0.6136830092056984,1
26,1,32,0,12,14,3,1,2,93.0,1,0.33647223662121295,1
16,0,35,2,22,21,2,1,1,370.755,1,0.7089077444848293,3
12,1,34,0,7,13,3,1,2,154.16,1,0.8463816899154241,0
12,0,35,0,30,28,4,1,2,135.875,1,0.6676258516631792,0
5,1,35,0,7,2,3,1,2,40.44,1,0.6136830092056984,1
5,0,35,0,7,2,4,1,2,25.275,1,0.6136830092056984,1
6,1,8,2,7,4,3,1,1,93.2,1,0.9483212532179927,1
9,1,39,0,28,17,2,1,2,167.445,1,0.664083047616034,0
32,1,35,0,44,34,3,1,2,252.92,1,0.4001600558784712,3
18,1,37,0,37,33,3,1,2,306.08,1,0.7602864833975739,3
18,0,38,0,62,48,4,1,2,235.825,1,0.6320102747707023,3
9,0,38,0,28,19,3,1,2,154.24,1,0.6735112060430863,0
9,0,38,0,37,21,4,1,2,131.4,1,0.7470999788081844,0
12,1,37,0,66,37,4,1,2,230.75,1,0.5387649924552321,3
12,1,11,4,28,24,3,1,1,209.12,1,0.7605832853586456,0
24,0,35,0,7,4,3,1,2,56.12,1,0.22778393087071197,1
14,0,38,0,12,11,2,1,1,306.765,1,0.6827206725226276,3
10,0,37,0,7,3,3,1,2,137.28,1,0.7947845577149417,0
10,0,38,0,20,18,3,1,2,160.52,1,0.5999805350768835,0
5,1,38,0,7,2,3,1,2,40.44,1,0.6136830092056984,1
5,0,38,0,7,2,4,1,2,25.275,1,0.6136830092056984,1
5,1,11,1,7,2,3,1,1,76.32,1,0.843958959121689,1
5,0,40,0,39,6,3,1,2,173.28,1,0.4595323293784402,0
28,1,36,0,55,23,3,1,2,277.36,1,0.3281650264534468,3
14,0,38,0,48,22,3,1,2,330.52,1,0.7286721517223305,3
14,1,39,0,73,37,4,1,2,251.1,1,0.5877866649021191,3
5,0,39,0,39,8,3,1,2,178.68,1,0.5058130819424465,0
5,0,39,0,48,10,4,1,2,146.675,1,0.6519596221533307,0
8,1,12,3,39,13,3,1,1,233.56,1,0.7059678689890068,3
5,0,38,0,7,2,2,1,2,45.495,1,0.6136830092056984,1
28,1,34,0,7,15,2,1,2,85.14,1,0.34076897013678903,1
18,0,37,1,7,22,2,1,1,306.27,1,0.7039727260648678,3
14,0,36,0,7,14,3,1,2,156.84,1,0.8297227155656961,0
14,0,37,0,9,29,3,1,2,136.08,1,0.658069388795699,0
5,1,37,0,7,2,3,1,2,40.44,1,0.6136830092056984,1
5,0,37,0,7,2,4,1,2,38.125,1,1.0809977419671275,1
8,0,10,1,7,5,3,1,1,95.88,1,0.9049991510700843,1
7,0,39,0,16,5,2,1,2,94.59,1,0.7786693539981073,1
30,1,35,0,32,22,3,1,2,188.16,1,0.36985925265395003,0
16,1,37,0,25,21,3,1,2,241.32,1,0.7930239378615153,3
16,1,38,0,50,36,4,1,2,195.35,1,0.6434006768906935,0
7,0,38,0,16,7,3,1,2,89.48,1,0.7714790238298523,1
7,0,38,0,25,9,4,1,2,90.925,1,0.8488273024391018,1
