,Call  Failure,Complains,Subscription  Length,Charge  Amount,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Customer Value,Churn,Average of use
52,13,0,39,1,364,26,3,1,1,1559.04,0,0.6648148148148149
53,13,0,40,1,6,37,1,1,1,270.985,0,1.0285024154589373
54,6,0,40,1,7,35,2,1,1,144.63,0,0.6702185792349726
55,14,0,40,2,37,30,3,2,1,304.8,0,0.7519607843137255
56,7,0,40,1,290,20,3,1,1,1258.48,0,0.9603174603174603
57,16,0,39,3,149,45,3,1,1,967.96,0,1.2331989247311828
58,10,0,40,1,5,46,3,1,1,580.2,0,1.3404069767441862
59,10,0,40,2,7,27,3,1,1,214.44,0,0.8866279069767442
60,9,0,40,1,12,14,3,1,1,291.04,0,1.0166666666666668
61,12,0,40,1,13,19,3,1,1,146.2,0,0.6719298245614035
62,28,0,40,4,59,34,3,1,1,853.12,0,1.1111111111111112
63,7,0,40,2,488,10,3,1,1,2079.4,0,1.7527777777777778
64,12,0,39,1,155,32,2,1,1,1405.35,0,1.4004504504504502
65,6,0,39,2,191,28,3,1,1,1029.96,0,1.2284644194756553
66,3,0,39,1,5,13,2,1,1,65.34,0,0.9166666666666667
67,5,0,40,1,18,10,3,1,1,103.48,0,0.7549019607843137
68,3,1,39,1,5,2,2,1,1,25.335,1,0.3333333333333333
69,6,0,39,1,389,45,3,1,1,1863.92,0,0.9702564102564103
70,10,0,39,2,16,49,4,2,1,332.05,0,1.2234607218683653
71,11,0,39,2,113,39,2,1,1,817.02,0,1.4482905982905983
72,26,1,35,1,21,19,3,1,1,126.6,1,0.3383333333333334
73,24,1,38,9,6,44,5,2,1,167.865,0,1.822048611111111
74,16,0,38,2,31,26,2,1,1,408.555,0,0.96996699669967
75,4,0,36,1,5,16,3,1,1,137.0,0,1.9333333333333333
76,12,0,37,1,14,18,3,1,1,179.76,1,1.1553030303030303
77,12,1,38,1,39,33,3,1,1,251.0,1,0.825531914893617
78,3,0,38,1,5,4,3,1,1,27.92,1,0.6433333333333333
79,4,0,38,1,5,8,4,1,1,56.4,0,1.0285714285714287
80,6,0,35,2,19,24,5,1,1,132.675,0,1.1408333333333334
81,3,0,38,1,14,6,4,1,1,52.45,1,1.1466666666666667
82,3,0,38,2,9,4,5,1,1,19.575,0,0.9476190476190477
83,28,0,33,4,5,82,2,1,1,759.42,0,1.1158367911479945
84,9,1,36,4,276,35,3,2,1,1389.76,0,0.9838935574229691
85,5,0,38,1,7,30,3,1,1,182.52,0,0.7407843137254903
86,6,0,37,1,43,22,3,1,1,242.88,0,0.6117021276595744
87,9,0,38,1,180,25,2,1,1,940.32,0,0.8452380952380952
88,7,0,29,2,198,13,3,2,1,848.56,0,0.5876068376068376
89,7,0,28,1,35,70,4,1,1,129.25,0,0.6460317460317461
90,14,0,29,1,15,9,3,1,1,91.52,0,0.4523809523809524
91,3,0,28,1,26,5,4,1,1,87.45,0,1.1346153846153846
92,13,0,27,1,24,15,2,1,1,167.4,0,0.611904761904762
93,5,0,27,1,13,25,3,1,1,185.96,0,0.85546875
94,5,0,20,1,33,16,2,1,1,228.78,0,1.0086206896551724
95,19,0,19,2,90,44,2,2,1,701.865,0,0.746875
96,15,0,17,1,78,42,5,1,1,254.505,0,0.8613984674329501
97,11,0,18,4,36,21,3,1,1,262.44,0,1.0114583333333333
98,5,0,11,2,220,12,3,1,1,1059.72,0,1.7248062015503878
99,6,1,11,2,5,9,3,1,1,82.8,1,1.1727272727272728
100,5,0,36,0,0,15,2,1,1,197.01,0,1.0563725490196079
101,0,0,37,0,2,2,2,1,2,20.7,0,2.15
102,7,0,35,0,354,22,2,1,1,1703.25,0,0.6997076023391813
103,7,0,36,0,0,33,1,1,1,231.055,0,1.0947089947089947
104,0,0,36,0,0,31,1,1,1,131.34,0,0.7069696969696969
105,8,0,36,0,27,26,3,1,1,259.76,0,0.7837552742616033
106,1,0,36,0,280,16,3,1,1,1213.44,0,1.0648148148148149
107,10,0,35,1,139,41,3,1,1,922.92,0,1.278954802259887
108,4,0,36,0,0,42,3,1,1,555.16,0,1.3768072289156628
109,4,0,36,0,0,23,3,1,1,181.4,0,0.928125
110,3,0,36,0,2,10,2,1,1,276.75,0,1.061231884057971
111,6,1,36,0,3,15,3,1,2,101.16,0,0.7117647058823529
112,22,0,36,2,49,30,3,1,1,808.08,0,1.1321321321321323
113,1,0,36,0,478,6,3,1,1,2034.36,0,2.107638888888889
114,6,0,35,0,145,28,2,1,1,1354.68,0,1.4362197392923648
115,0,0,35,0,181,24,3,1,1,984.92,0,1.293172690763052
116,0,0,35,0,0,9,2,1,2,37.17,0,1.2348484848484849
117,0,0,36,0,8,6,2,1,2,65.745,0,0.9848484848484849
118,0,0,35,0,0,0,2,1,2,0.0,1,0.0
119,0,0,35,0,379,41,2,1,1,2046.24,0,1.0010752688172044
120,4,0,35,0,6,45,3,1,1,486.24,0,1.2588300220750552
121,5,0,35,0,103,35,2,1,1,766.35,0,1.5412037037037036
122,20,0,31,0,11,15,2,1,2,91.755,1,0.3390151515151515
123,18,0,34,7,0,40,4,1,1,261.625,0,1.9212962962962963
124,10,0,34,0,21,22,2,1,1,357.885,1,1.0101754385964912
125,0,0,32,0,0,12,3,1,1,111.96,0,2.43859649122807
126,6,0,33,0,4,14,2,1,2,151.56,1,1.2850877192982457
127,6,1,34,0,29,29,3,1,2,205.96,1,0.897560975609756
128,0,1,34,0,0,0,3,1,2,0.0,1,0.0
129,0,0,34,0,0,4,3,1,1,65.2,0,1.2181818181818183
130,0,0,31,0,9,20,4,1,1,192.975,0,1.1923758865248226
131,0,0,34,0,4,2,4,1,2,24.3,1,2.3666666666666667
132,0,0,34,0,0,0,5,1,1,0.0,0,0.0
133,22,0,29,2,0,78,2,1,1,731.25,0,1.1358156028368795
134,3,0,32,2,266,31,2,2,1,1512.81,0,1.0184365781710913
135,0,0,34,0,0,26,2,1,1,168.165,0,0.7717299578059073
136,0,0,33,0,33,18,3,1,2,197.84,0,0.6524390243902439
137,3,0,34,0,170,21,2,1,1,889.65,0,0.9066666666666667
138,1,0,25,0,188,9,2,2,1,903.96,0,0.6338383838383839
139,1,0,24,0,25,66,4,1,1,101.1,0,0.6981481481481482
140,8,0,25,0,5,5,2,1,2,52.29,0,0.4848484848484848
141,0,1,24,0,16,1,4,1,2,59.3,1,1.8214285714285714
142,7,0,23,0,14,11,2,1,1,116.73,0,0.6695402298850575
143,0,0,23,0,3,21,3,1,1,140.92,0,0.9094827586206896
144,0,0,16,0,23,12,2,1,1,178.11,0,1.184782608695652
145,13,0,15,0,80,40,1,2,1,795.905,0,0.764855072463768
146,9,0,13,0,68,38,4,1,1,396.025,0,0.8802579365079365
147,5,0,14,2,26,17,3,1,1,217.4,0,1.1083333333333332
148,0,0,7,0,210,8,3,1,1,1014.68,0,1.9504504504504505
149,0,0,7,0,0,5,3,1,1,57.76,1,1.4875
150,9,0,42,1,15,21,3,1,1,240.92,0,1.0159817351598175
151,1,1,43,0,17,8,3,1,2,84.2,1,0.9476190476190477
152,11,0,41,1,369,28,3,1,1,1579.8,0,0.6809139784946237
153,11,0,42,1,11,39,1,1,1,299.53,0,1.048529411764706
154,4,0,42,1,12,37,2,1,1,167.985,0,0.6869444444444445
155,12,0,42,2,42,32,3,1,1,325.56,0,0.7648809523809523
156,5,0,42,1,295,22,3,1,1,1279.24,0,0.991869918699187
157,14,0,41,3,154,47,3,1,1,988.72,0,1.2459349593495934
158,8,0,42,1,10,48,3,1,1,600.96,0,1.350194931773879
159,8,0,42,2,12,29,3,1,1,235.2,0,0.9009803921568627
160,7,0,42,1,17,16,3,1,1,311.8,0,1.0305841924398627
161,10,0,42,0,18,21,3,1,2,166.96,0,0.6898809523809524
162,26,0,42,4,64,36,3,2,1,873.88,0,1.117474302496329
163,5,0,42,2,493,12,3,1,1,2100.16,0,1.8247126436781609
164,10,0,41,1,160,34,2,1,1,1428.705,0,1.4098731884057971
165,4,0,41,2,196,30,3,1,1,1050.72,0,1.2462121212121213
166,1,0,41,0,10,15,2,1,2,88.695,0,0.9947916666666666
167,3,0,42,0,23,12,3,1,2,124.24,0,0.8229166666666666
168,1,0,41,0,10,4,2,1,2,48.69,1,0.6666666666666666
169,4,0,41,1,394,47,3,1,1,1884.68,0,0.9803617571059432
170,8,0,41,2,21,51,4,1,1,345.025,0,1.2334401709401708
171,9,0,41,2,118,41,2,1,1,840.375,0,1.4714285714285713
172,24,1,37,0,26,21,3,1,2,147.36,1,0.3520408163265306
173,22,1,40,9,11,46,5,1,1,175.65,0,1.8447368421052632
174,14,0,40,2,36,28,2,1,1,431.91,1,0.983
175,2,0,38,1,10,18,3,1,1,157.76,0,2.0277777777777777
176,10,0,39,0,19,20,3,1,2,200.52,1,1.189922480620155
177,10,1,40,0,44,35,3,1,2,271.76,1,0.8507246376811594
178,1,0,40,0,10,6,3,1,2,48.68,1,0.8875
179,2,0,40,1,10,10,4,1,1,69.375,0,1.0790123456790124
180,4,0,37,2,24,26,5,1,1,140.46,0,1.1557239057239057
181,1,1,40,0,19,8,4,1,2,65.425,1,1.3111111111111111
182,1,0,40,2,14,6,5,1,1,27.36,0,1.1611111111111112
183,26,0,35,4,10,84,2,1,1,782.775,0,1.121875
184,7,1,38,4,281,37,2,2,1,1586.835,0,0.9950564971751413
185,3,0,40,1,12,32,3,1,1,203.28,0,0.7535714285714286
186,4,0,39,0,48,24,3,1,2,263.64,0,0.6322463768115941
187,7,0,40,1,185,27,2,1,1,963.675,0,0.8666666666666666
188,5,0,31,2,203,15,2,2,1,977.985,0,0.6118421052631579
189,5,0,30,1,40,72,4,1,1,142.225,0,0.6699186991869919
190,12,0,31,0,20,11,3,1,2,112.28,0,0.48148148148148145
191,1,0,30,0,31,7,4,1,2,100.425,0,1.2569444444444444
192,11,0,29,1,29,17,2,1,1,190.755,0,0.6397058823529411
193,3,0,29,1,18,27,3,1,1,206.72,0,0.8743386243386244
194,3,0,22,1,38,18,2,1,1,252.135,0,1.056547619047619
195,17,0,21,2,95,46,2,2,1,725.22,0,0.7544289044289044
196,13,0,19,1,83,44,5,1,1,262.29,0,0.8683044315992293
197,9,0,20,4,41,23,3,1,1,283.2,0,1.0400709219858155
198,3,0,13,2,225,14,3,1,1,1080.48,0,1.7738095238095237
199,4,0,13,2,10,11,3,1,1,103.56,1,1.2444444444444445
200,7,0,34,0,0,13,2,1,1,196.155,0,1.036231884057971
201,0,0,35,0,0,0,2,1,2,0.0,0,0.0
202,9,0,33,0,349,20,2,1,1,1679.895,0,0.6818965517241379
203,9,0,34,0,0,31,1,1,1,230.01,0,1.0723958333333334
204,2,0,34,0,0,29,1,1,1,130.295,0,0.6883928571428571
205,10,0,34,0,22,24,3,1,1,239.0,0,0.7697916666666667
206,3,0,34,0,275,14,3,1,1,1192.68,0,1.027027027027027
207,12,0,33,1,134,39,3,1,1,902.16,0,1.2654061624649862
208,6,0,34,0,0,40,3,1,1,554.4,0,1.366566866267465
209,6,0,34,0,0,21,3,1,1,180.64,0,0.9125514403292182
210,5,0,34,0,0,8,2,1,1,266.895,0,1.0462365591397849
211,8,0,34,0,0,13,3,1,2,88.4,0,0.6916666666666667
212,24,0,34,2,44,28,3,1,1,787.32,0,1.1255605381165918
213,3,0,34,0,473,4,3,1,1,2013.6,0,2.01
214,8,0,33,0,140,26,2,1,1,1331.325,0,1.426388888888889
215,2,0,33,0,176,22,3,1,1,964.16,0,1.2738095238095237
216,0,0,33,0,0,7,2,1,2,36.315,0,1.1041666666666667
217,1,0,34,0,3,4,2,1,2,42.39,0,0.875
218,0,0,33,0,0,0,2,1,2,0.0,1,0.0
219,2,0,33,0,374,39,2,1,1,2022.885,0,0.9904
220,6,0,33,0,1,43,3,1,1,465.48,0,1.2483552631578947
221,7,0,33,0,98,33,2,1,1,742.995,0,1.5155251141552513
222,22,0,29,0,6,13,2,1,2,68.4,1,0.32407407407407407
223,20,0,32,7,0,38,4,1,1,261.15,0,1.8965201465201467
224,12,1,32,0,16,20,2,1,1,334.53,1,0.9961805555555556
225,0,0,30,0,0,10,3,1,1,111.2,0,2.3
226,8,1,31,0,0,12,3,1,2,117.96,1,1.2435897435897436
227,8,0,32,0,24,27,3,1,2,185.2,1,0.8682539682539683
228,0,1,32,0,0,0,3,1,2,0.0,1,0.0
229,0,0,32,0,0,2,3,1,1,64.44,0,1.1507246376811593
230,2,0,29,0,4,18,4,1,1,180.0,0,1.1763157894736842
231,0,0,32,0,0,0,4,1,2,0.0,1,0.0
232,0,0,32,0,0,0,5,1,1,0.0,0,0.0
233,24,0,27,2,0,76,2,1,1,730.395,0,1.129590395480226
234,5,0,30,2,261,29,2,2,1,1489.455,0,1.006578947368421
235,1,0,32,0,0,24,2,1,1,167.31,0,0.7579166666666667
236,2,0,31,0,28,16,3,1,2,177.08,0,0.628968253968254
237,5,0,32,0,165,19,2,1,1,866.295,0,0.8823529411764706
238,3,0,23,0,183,7,2,2,1,880.605,0,0.6053921568627451
239,3,0,22,0,20,64,4,1,1,88.125,0,0.6702702702702703
240,10,0,23,0,0,3,2,1,2,28.935,0,0.44927536231884063
241,0,0,22,0,11,0,4,1,2,27.5,0,0.0
242,9,0,21,0,9,9,2,1,1,93.375,0,0.6361111111111111
243,1,0,21,0,0,19,3,1,1,128.16,0,0.8884180790960452
244,1,0,14,0,18,10,2,1,1,154.755,0,1.121527777777778
245,15,0,13,0,75,38,1,2,1,767.36,0,0.7569544364508394
246,11,0,11,0,63,36,4,1,1,383.05,0,0.8730769230769232
247,7,0,12,2,21,15,3,1,1,196.64,0,1.0748062015503876
248,1,0,5,0,205,6,3,1,1,993.92,0,1.8903508771929822
249,2,0,5,0,0,3,3,1,1,57.0,1,1.380392156862745
250,13,0,44,1,20,23,3,1,1,268.44,0,0.9526748971193416
251,5,0,45,0,22,10,3,1,2,111.72,0,0.6422222222222221
252,15,0,43,1,374,30,3,1,1,1607.32,0,0.645952380952381
253,15,0,44,1,16,41,1,1,1,337.37,0,0.9776315789473684
254,8,0,44,1,17,39,2,1,1,198.945,0,0.6502450980392157
255,16,0,44,2,47,34,3,1,1,353.08,0,0.7309782608695652
256,9,0,44,1,300,24,3,1,1,1306.76,0,0.891156462585034
257,18,0,43,3,159,49,3,1,1,1016.24,0,1.1927480916030535
258,12,0,44,1,15,50,3,1,1,628.48,0,1.306610800744879
259,12,0,44,2,17,31,3,1,1,262.72,0,0.8557347670250895
260,11,0,44,1,22,18,3,1,1,339.32,0,0.9806349206349206
261,14,1,44,0,23,23,3,1,2,194.48,0,0.6505208333333333
262,30,0,44,4,69,38,3,1,1,901.4,0,1.0921985815602837
263,9,0,44,2,498,14,3,1,1,2127.68,0,1.5112612612612613
264,14,0,43,1,165,36,2,1,1,1459.665,0,1.3667534722222223
265,8,0,43,2,201,32,3,1,1,1078.24,0,1.1736111111111112
266,5,0,43,0,15,17,2,1,2,119.655,0,0.7881944444444445
267,7,0,44,0,28,14,3,1,2,151.76,0,0.6736111111111112
268,5,0,43,0,15,6,2,1,2,79.65,1,0.4333333333333333
269,8,0,43,1,399,49,3,1,1,1912.2,0,0.9450121654501217
270,12,0,43,2,26,53,4,1,1,362.225,0,1.1915650406504064
271,13,0,43,2,123,43,2,1,1,871.335,0,1.368235294117647
272,28,1,39,0,31,23,3,1,2,174.88,1,0.35526315789473684
273,26,0,42,9,16,48,5,2,1,185.97,0,1.7305825242718447
274,18,0,42,2,41,30,2,1,1,462.87,0,0.9379629629629629
275,6,0,40,1,15,20,3,1,1,185.28,0,1.6145833333333333
276,14,1,41,0,24,22,3,1,2,228.04,1,1.0620915032679739
277,14,1,42,0,49,37,4,1,2,187.05,1,0.7802469135802469
278,5,0,42,0,15,8,3,1,2,76.2,1,0.5458333333333333
279,6,0,42,1,15,12,4,1,1,86.575,0,0.9180952380952381
280,8,0,39,2,29,28,5,1,1,150.78,0,1.0973520249221185
281,5,0,42,0,24,10,4,1,2,82.625,1,0.8705882352941177
282,5,0,42,2,19,8,5,1,1,37.68,0,0.7119047619047619
283,30,1,37,4,15,86,2,1,1,813.735,0,1.0977822580645162
284,11,1,40,4,286,39,3,2,1,1438.04,0,0.9556878306878307
285,7,0,42,1,17,34,3,1,1,230.8,0,0.7206521739130435
286,8,0,41,0,53,26,3,1,2,291.16,0,0.5941358024691359
287,11,0,42,1,190,29,2,1,1,994.635,0,0.8042328042328042
288,9,0,33,2,208,17,3,2,1,896.84,0,0.5706521739130435
289,9,0,32,1,45,74,5,1,1,95.655,0,0.6217687074829932
290,16,0,33,0,25,13,3,1,2,139.8,0,0.45714285714285713
291,5,0,32,0,36,9,4,1,2,117.625,0,0.9041666666666666
292,15,0,31,1,34,19,2,1,1,221.715,0,0.5892857142857143
293,7,0,31,1,23,29,3,1,1,234.24,0,0.818075117370892
294,7,0,24,1,43,20,3,1,1,251.64,0,0.9050925925925927
295,21,0,23,2,100,48,2,2,1,756.18,0,0.7343267108167771
296,17,0,21,1,88,46,5,1,1,272.61,0,0.8465009208103131
297,13,0,22,4,46,25,3,1,1,310.72,0,0.9433333333333334
298,7,0,15,2,230,16,3,1,1,1108.0,0,1.55
299,8,1,15,2,15,13,3,1,1,131.08,1,1.0045977011494254
300,3,0,32,0,0,11,2,1,1,187.695,0,1.1229508196721312
301,0,0,33,0,0,0,2,1,2,0.0,0,0.0
302,5,0,31,0,344,18,2,1,1,1648.935,0,0.731
303,5,0,32,0,0,29,1,1,1,219.67,0,1.1720238095238096
304,0,0,32,0,0,27,1,1,1,119.955,0,0.740625
305,6,0,32,0,17,22,2,1,1,237.915,0,0.8136574074074074
306,0,0,32,0,270,12,3,1,1,1165.16,0,1.206896551724138
307,8,0,31,1,129,37,3,1,1,874.64,0,1.3295795795795797
308,2,0,32,0,0,38,3,1,1,546.88,0,1.4164570230607967
309,2,0,32,0,0,19,3,1,1,173.12,0,0.9714611872146119
310,1,0,32,0,0,6,2,1,1,258.435,0,1.1094117647058823
311,4,0,32,0,0,11,3,1,2,80.88,0,0.7492424242424243
312,20,0,32,2,39,26,3,1,1,759.8,0,1.1534883720930234
313,0,0,32,0,468,2,3,1,1,1986.08,0,2.7794117647058822
314,4,0,31,0,135,24,2,1,1,1300.365,0,1.4752906976744187
315,0,0,31,0,171,20,3,1,1,936.64,0,1.368421052631579
316,0,0,31,0,0,5,2,1,2,27.855,0,2.5625
317,0,0,32,0,0,2,2,1,2,20.43,0,1.875
318,0,0,31,0,0,0,2,1,2,0.0,1,0.0
319,0,0,31,0,369,37,2,1,1,1991.925,0,1.0324786324786324
320,2,0,31,0,0,41,3,1,1,453.96,0,1.296875
321,3,0,31,0,93,31,2,1,1,712.035,0,1.655897435897436
322,18,1,27,0,1,11,2,1,2,37.44,1,0.3130630630630631
323,16,0,30,7,0,36,4,1,1,256.45,0,2.0431726907630523
324,8,1,30,0,11,18,2,1,1,303.57,1,1.0526515151515152
325,0,0,28,0,0,8,3,1,1,103.68,0,3.5833333333333335
326,4,0,29,0,0,10,2,1,2,124.245,1,1.467741935483871
327,4,1,30,0,19,25,3,1,2,157.68,1,0.9843137254901961
328,0,0,30,0,0,0,3,1,2,0.0,1,0.0
329,0,0,30,0,0,0,3,1,1,0.0,0,0.0
330,0,0,27,0,0,16,4,1,1,165.3,0,1.25
331,0,1,30,0,0,0,4,1,2,0.0,1,0.0
332,0,1,30,0,0,0,5,1,1,0.0,1,0.0
333,20,0,25,2,0,74,2,1,1,721.935,0,1.1560672514619883
334,1,0,28,2,256,27,2,2,1,1458.495,0,1.054245283018868
335,0,0,30,0,0,22,2,1,1,158.85,0,0.8004629629629629
336,0,0,29,0,23,14,3,1,2,149.56,0,0.6887254901960784
337,1,0,30,0,160,17,2,1,1,835.335,0,0.9767441860465116
338,0,0,21,0,178,5,2,2,1,849.645,0,0.6762820512820512
339,0,0,20,0,15,62,4,1,1,70.925,0,0.7517241379310345
340,6,0,21,0,0,1,2,1,2,20.475,0,0.4888888888888889
341,0,0,20,0,6,0,4,1,2,15.0,0,0.0
342,5,0,19,0,4,7,2,1,1,62.415,0,0.731060606060606
343,0,0,19,0,0,17,3,1,1,120.64,0,0.9689542483660131
344,0,0,12,0,13,8,2,1,1,123.795,0,1.4947916666666667
345,11,0,11,0,70,36,1,2,1,729.52,0,0.7802798982188295
346,7,0,9,0,58,34,4,1,1,365.85,0,0.8978260869565218
347,3,0,10,2,16,13,3,1,1,169.12,0,1.2347619047619047
348,0,0,3,0,200,4,3,1,1,966.4,0,2.2944444444444443
349,0,1,3,0,0,1,2,1,1,55.665,1,2.2740740740740737
350,10,0,41,0,16,22,3,1,1,249.16,0,0.9599156118143459
351,2,0,42,0,18,9,2,1,2,103.995,0,0.6384615384615385
352,12,0,40,0,370,29,3,1,1,1588.04,0,0.645343137254902
353,12,0,41,0,12,40,1,1,1,310.86,0,0.9860360360360361
354,5,0,41,0,13,38,1,1,1,216.645,0,0.6497474747474747
355,13,0,41,1,43,33,3,1,1,333.8,0,0.7324074074074075
356,6,0,41,0,296,23,3,1,1,1287.48,0,0.9007092198581561
357,15,0,40,2,155,48,3,1,1,996.96,0,1.2009043927648577
358,9,0,41,0,11,49,3,1,1,609.2,0,1.3138418079096046
359,9,0,41,1,13,30,3,1,1,243.44,0,0.8598901098901099
360,8,0,41,0,18,17,3,1,1,320.04,0,0.9867313915857606
361,11,0,41,0,19,22,3,1,2,175.2,0,0.6499999999999999
362,27,0,41,3,65,37,3,1,1,882.12,0,1.09585121602289
363,6,0,41,1,494,13,3,1,1,2108.4,0,1.5595238095238095
364,11,0,40,0,161,35,2,1,1,1437.975,0,1.3741228070175437
365,5,0,40,1,197,31,3,1,1,1058.96,0,1.1843971631205674
366,2,0,40,0,11,16,2,1,2,97.965,0,0.7992424242424242
367,4,0,41,0,24,13,3,1,2,132.48,0,0.6742424242424243
368,2,0,40,0,11,5,2,1,2,57.96,1,0.375
369,5,0,40,0,395,48,2,1,1,2129.535,0,0.9491358024691358
370,9,0,40,1,22,52,4,1,1,350.175,0,1.198045267489712
371,10,0,40,1,119,42,2,1,1,849.645,0,1.385140562248996
372,25,1,36,0,27,22,2,1,2,175.05,1,0.34393939393939393
373,23,0,39,8,12,47,5,1,1,178.74,0,1.7516501650165015
374,15,0,39,1,37,29,2,1,1,441.18,0,0.9430817610062894
375,3,0,37,0,11,19,3,1,1,166.0,0,1.6777777777777778
376,11,1,38,0,20,21,3,1,2,208.76,1,1.0782312925170068
377,11,1,39,0,45,36,3,1,2,280.0,1,0.7846153846153846
378,2,1,39,0,11,7,3,1,2,56.92,1,0.5216666666666667
379,3,0,39,0,11,11,3,1,1,119.24,0,0.9333333333333333
380,5,0,36,1,25,27,5,1,1,143.55,0,1.1055555555555554
381,2,0,39,0,20,9,4,1,2,70.575,1,0.8977777777777778
382,2,0,39,1,15,7,5,1,1,30.45,0,0.7194444444444444
383,27,1,34,3,11,85,2,1,1,792.045,0,1.101287262872629
384,8,0,37,3,282,38,2,2,1,1596.105,0,0.9603494623655914
385,4,0,39,0,13,33,2,1,1,237.96,0,0.7218518518518519
386,5,0,38,0,49,25,3,1,2,271.88,0,0.5913461538461539
387,8,0,39,0,186,28,2,1,1,972.945,0,0.8087431693989071
388,6,1,30,1,204,16,2,2,1,987.255,1,0.5662878787878788
389,6,0,29,0,41,73,4,1,1,147.375,0,0.6198581560283688
390,13,0,30,0,21,12,2,1,2,135.585,0,0.4444444444444444
391,2,0,29,0,32,8,4,1,2,105.575,0,0.9305555555555556
392,12,0,28,0,30,18,2,1,1,200.025,0,0.5854166666666667
393,4,0,28,0,19,28,3,1,1,214.96,0,0.822463768115942
394,4,0,21,0,39,19,2,1,1,261.405,0,0.9191176470588235
395,18,0,20,1,96,47,2,2,1,734.49,0,0.735234899328859
396,14,0,18,0,84,45,4,1,1,442.3,0,0.8485102420856611
397,10,0,19,3,42,24,3,1,1,291.44,0,0.9537735849056603
398,4,0,12,1,226,15,3,1,1,1088.72,0,1.5868055555555556
399,5,0,12,1,11,12,3,1,1,111.8,1,1.0296296296296297
